Kecamatan,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Alamat,Tipe Iklan,Aksesibilitas,NJOP_Rp_per_m2,Tingkat_Keamanan
Rungkut,2,1,72,60,"Lainnya (PPJB,Girik,Adat,dll)",,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.152, Surabaya (-7.373639, 112.711099)",Dijual,Baik,1032000.0,Tinggi
Sambikerep,3,2,72,60,"Lainnya (PPJB,Girik,Adat,dll)",1300.0,Tidak,Tidak,Unfurnished,1.0,Barat,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Sambikerep Raya No.131, Surabaya (-7.222591, 112.621331)",Disewa,Baik,1000000.0,Tinggi
Sambikerep,2,1,81,63,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Sambikerep Raya No.150, Surabaya (-7.344995, 112.792835)",Keduanya,Baik,1000000.0,Tinggi
Sambikerep,2,1,84,61,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,,Ya,,PAM atau PDAM,Tidak,Baru,"Jl. Sambikerep Raya No.53, Surabaya (-7.355277, 112.714657)",Dijual,Baik,1000000.0,Tinggi
Benowo,3,2,90,60,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,,Tidak,,PAM atau PDAM,Tidak,Baru,"Jl. Benowo Raya No.2, Surabaya (-7.228581, 112.630207)",Dijual,Buruk,1000000.0,Tinggi
Lakarsantri,4,2,90,90,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,,Ya,,PAM atau PDAM,Tidak,Baru,"Jl. Lakarsantri Raya No.88, Surabaya (-7.236579, 112.662289)",Dijual,Baik,1000000.0,Rendah
Tambaksari,7,1,91,91,SHM - Sertifikat Hak Milik,900.0,Tidak,Tidak,Unfurnished,1.0,Timur,Ya,1 Mobil,Sumur Bor,Tidak,Bagus,"Jl. Tambaksari Raya No.158, Surabaya (-7.310331, 112.760047)",Dijual,Buruk,1032000.0,Tinggi
Tandes,4,2,91,120,SHM - Sertifikat Hak Milik,,,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Bagus,"Jl. Tandes Raya No.38, Surabaya (-7.302152, 112.704646)",Dijual,Buruk,1000000.0,Rendah
Tenggilis mejoyo,2,1,91,50,HGB - Hak Guna Bangunan,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Ya,Baru,"Jl. Tenggilis Mejoyo Raya No.130, Surabaya (-7.35645, 112.63763)",Keduanya,Baik,1000000.0,Tinggi
Rungkut,3,2,94,75,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,1.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.192, Surabaya (-7.38434, 112.62057)",Dijual,Baik,1032000.0,Rendah
Pakal,4,1,95,95,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Timur,Ya,,PAM atau PDAM,Tidak,Bagus,"Jl. Pakal Raya No.188, Surabaya (-7.285314, 112.686155)",Keduanya,Baik,1032000.0,Rendah
Lakarsantri,2,1,96,80,HGB - Hak Guna Bangunan,,,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Lakarsantri Raya No.21, Surabaya (-7.380331, 112.667483)",Keduanya,Buruk,1000000.0,Tinggi
Tandes,2,1,96,96,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Tandes Raya No.161, Surabaya (-7.310145, 112.731183)",Keduanya,Baik,1000000.0,Tinggi
Tandes,2,1,96,96,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Tandes Raya No.58, Surabaya (-7.211901, 112.785049)",Dijual,Baik,1000000.0,Rendah
Tandes,3,1,108,108,HGB - Hak Guna Bangunan,,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Tandes Raya No.22, Surabaya (-7.209433, 112.649546)",Keduanya,Buruk,1000000.0,Tinggi
Wiyung,3,2,128,158,SHM - Sertifikat Hak Milik,3500.0,,,Unfurnished,2.0,Selatan,,,,,Bagus,"Jl. Wiyung Raya No.89, Surabaya (-7.352134, 112.771047)",Dijual,Baik,1000000.0,Rendah
Rungkut,1,2,377,150,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.49, Surabaya (-7.275177, 112.784092)",Keduanya,Baik,1032000.0,Tinggi
Sawahan,3,1,54,80,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Sawahan Raya No.59, Surabaya (-7.305185, 112.780401)",Dijual,Baik,1032000.0,Tinggi
Tegalsari,2,2,45,90,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Tegalsari Raya No.170, Surabaya (-7.224863, 112.790415)",Disewa,Baik,1000000.0,Tinggi
Sambikerep,2,2,56,72,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Bagus,"Jl. Sambikerep Raya No.188, Surabaya (-7.345714, 112.768422)",Disewa,Baik,1000000.0,Tinggi
Tambaksari,2,1,63,50,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Tambaksari Raya No.15, Surabaya (-7.39926, 112.718697)",Keduanya,Baik,1032000.0,Rendah
Sukolilo,3,2,91,50,SHM - Sertifikat Hak Milik,3300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Sukolilo Raya No.190, Surabaya (-7.367488, 112.681969)",Disewa,Baik,1000000.0,Tinggi
Benowo,2,1,105,70,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,1.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Benowo Raya No.190, Surabaya (-7.330095, 112.698338)",Keduanya,Buruk,1000000.0,Tinggi
Wiyung,4,3,126,180,SHM - Sertifikat Hak Milik,4400.0,Tidak,Tidak,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Wiyung Raya No.175, Surabaya (-7.336856, 112.774522)",Keduanya,Baik,1000000.0,Tinggi
Tambaksari,2,1,54,53,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Barat,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Tambaksari Raya No.190, Surabaya (-7.241727, 112.66028)",Keduanya,Buruk,1032000.0,Tinggi
Asemrowo,2,2,48,60,SHM - Sertifikat Hak Milik,,,,Unfurnished,2.0,Timur,,,,,Baru,"Jl. Asemrowo Raya No.51, Surabaya (-7.263888, 112.631852)",Disewa,Buruk,1000000.0,Tinggi
Lakarsantri,2,1,90,70,HGB - Hak Guna Bangunan,1300.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Lakarsantri Raya No.108, Surabaya (-7.340089, 112.628164)",Keduanya,Baik,1000000.0,Tinggi
Rungkut,3,2,49,65,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Ya,Baru,"Jl. Rungkut Raya No.55, Surabaya (-7.308451, 112.765399)",Disewa,Baik,1032000.0,Tinggi
Rungkut,3,2,50,65,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.64, Surabaya (-7.380888, 112.752297)",Disewa,Baik,1032000.0,Tinggi
Rungkut,3,2,50,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.131, Surabaya (-7.220371, 112.699529)",Dijual,Baik,1032000.0,Tinggi
Gubeng,3,2,58,58,"Lainnya (PPJB,Girik,Adat,dll)",1300.0,Tidak,Tidak,Unfurnished,1.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Gubeng Raya No.51, Surabaya (-7.212915, 112.654974)",Disewa,Baik,1147000.0,Tinggi
Rungkut,2,1,59,59,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,,Sumur Bor,Tidak,Bagus,"Jl. Rungkut Raya No.135, Surabaya (-7.204039, 112.735523)",Dijual,Baik,1032000.0,Rendah
Mulyorejo,2,1,60,150,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Bagus,"Jl. Mulyorejo Raya No.21, Surabaya (-7.226289, 112.607687)",Keduanya,Baik,1000000.0,Rendah
Rungkut,2,1,60,60,HGB - Hak Guna Bangunan,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.73, Surabaya (-7.365208, 112.713646)",Keduanya,Buruk,1032000.0,Tinggi
Tambaksari,2,1,60,150,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Bagus,"Jl. Tambaksari Raya No.167, Surabaya (-7.390761, 112.679685)",Dijual,Baik,1032000.0,Tinggi
Sambikerep,3,2,69,69,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Sambikerep Raya No.18, Surabaya (-7.284081, 112.795572)",Keduanya,Baik,1000000.0,Tinggi
Mulyorejo,2,2,70,70,"Lainnya (PPJB,Girik,Adat,dll)",900.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus,"Jl. Mulyorejo Raya No.132, Surabaya (-7.217479, 112.701512)",Dijual,Baik,1000000.0,Tinggi
Rungkut,2,1,72,54,HGB - Hak Guna Bangunan,,Ya,Ya,Unfurnished,1.0,,Ya,,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Rungkut Raya No.89, Surabaya (-7.36453, 112.710454)",Dijual,Buruk,1032000.0,Tinggi
Tandes,3,2,72,100,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Bagus,"Jl. Tandes Raya No.60, Surabaya (-7.398591, 112.742473)",Keduanya,Baik,1000000.0,Rendah
Lakarsantri,2,1,84,70,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Lakarsantri Raya No.14, Surabaya (-7.238901, 112.696908)",Dijual,Buruk,1000000.0,Tinggi
Rungkut,2,1,90,50,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.9, Surabaya (-7.384641, 112.644914)",Dijual,Baik,1032000.0,Rendah
Rungkut,2,1,90,50,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.90, Surabaya (-7.317259, 112.707456)",Dijual,Baik,1032000.0,Tinggi
Rungkut,3,1,90,90,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Rungkut Raya No.53, Surabaya (-7.264223, 112.788854)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,1,90,90,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Rungkut Raya No.130, Surabaya (-7.35264, 112.681982)",Keduanya,Baik,1032000.0,Rendah
Tambaksari,3,2,92,150,SHM - Sertifikat Hak Milik,1300.0,,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Bagus,"Jl. Tambaksari Raya No.84, Surabaya (-7.383207, 112.735928)",Keduanya,Baik,1032000.0,Tinggi
Benowo,2,1,95,50,HGB - Hak Guna Bangunan,1300.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Baru,"Jl. Benowo Raya No.92, Surabaya (-7.245996, 112.795607)",Keduanya,Baik,1000000.0,Tinggi
Rungkut,2,2,100,80,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,,"Jl. Rungkut Raya No.111, Surabaya (-7.273965, 112.765984)",Keduanya,Baik,1032000.0,Tinggi
Tandes,4,2,100,100,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Tandes Raya No.188, Surabaya (-7.202302, 112.731807)",Disewa,Buruk,1000000.0,Tinggi
Rungkut,3,1,110,60,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.199, Surabaya (-7.331138, 112.747199)",Disewa,Baik,1032000.0,Tinggi
Wiyung,3,3,128,125,SHM - Sertifikat Hak Milik,3500.0,Tidak,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Sudah Renovasi,"Jl. Wiyung Raya No.172, Surabaya (-7.387648, 112.787297)",Dijual,Buruk,1000000.0,Tinggi
Benowo,2,1,134,100,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Barat,Tidak,,,Tidak,Butuh Renovasi,"Jl. Benowo Raya No.8, Surabaya (-7.25313, 112.79195)",Disewa,Baik,1000000.0,Tinggi
Wiyung,3,2,225,210,SHM - Sertifikat Hak Milik,3300.0,,Ya,Unfurnished,1.0,Selatan,Ya,,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Wiyung Raya No.175, Surabaya (-7.295653, 112.793794)",Keduanya,Baik,1000000.0,Tinggi
Wiyung,3,2,257,122,SHM - Sertifikat Hak Milik,4400.0,,,Unfurnished,1.0,Selatan,,,,,Bagus,"Jl. Wiyung Raya No.35, Surabaya (-7.357359, 112.725128)",Keduanya,Baik,1000000.0,Rendah
Rungkut,3,2,48,63,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.81, Surabaya (-7.243654, 112.676942)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,2,50,120,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.164, Surabaya (-7.359249, 112.626631)",Dijual,Baik,1032000.0,Tinggi
Kenjeran,4,2,160,120,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Kenjeran Raya No.50, Surabaya (-7.347868, 112.67711)",Dijual,Baik,1032000.0,Tinggi
Tambaksari,2,1,188,160,SHM - Sertifikat Hak Milik,4400.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,1 Mobil,Sumur Pompa,Ya,Bagus,"Jl. Tambaksari Raya No.104, Surabaya (-7.381494, 112.788591)",Dijual,Baik,1032000.0,Tinggi
Kenjeran,3,2,45,90,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Kenjeran Raya No.132, Surabaya (-7.320114, 112.777959)",Dijual,Baik,1032000.0,Tinggi
Rungkut,3,2,50,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.2, Surabaya (-7.316214, 112.704732)",Dijual,Baik,1032000.0,Tinggi
Rungkut,3,2,50,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Timur,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.134, Surabaya (-7.297088, 112.707401)",Dijual,Buruk,1032000.0,Tinggi
Rungkut,3,2,50,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.54, Surabaya (-7.258207, 112.661784)",Disewa,Baik,1032000.0,Tinggi
Rungkut,3,2,50,75,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.106, Surabaya (-7.21878, 112.690902)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,2,50,70,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.4, Surabaya (-7.372453, 112.74289)",Disewa,Baik,1032000.0,Rendah
Rungkut,3,2,50,70,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.54, Surabaya (-7.38913, 112.680486)",Dijual,Baik,1032000.0,Tinggi
Rungkut,3,2,50,70,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.191, Surabaya (-7.396294, 112.637597)",Keduanya,Baik,1032000.0,Tinggi
Pakal,2,1,74,60,HGB - Hak Guna Bangunan,1300.0,,Ya,Unfurnished,2.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Pakal Raya No.146, Surabaya (-7.371276, 112.708172)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,1,88,50,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Baru,"Jl. Rungkut Raya No.44, Surabaya (-7.26841, 112.645067)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,1,88,50,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Baru,"Jl. Rungkut Raya No.162, Surabaya (-7.254505, 112.794858)",Disewa,Baik,1032000.0,Rendah
Rungkut,3,1,88,60,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Baru,"Jl. Rungkut Raya No.190, Surabaya (-7.242699, 112.678068)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,1,88,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.14, Surabaya (-7.351258, 112.781933)",Dijual,Baik,1032000.0,Rendah
Rungkut,3,1,88,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.95, Surabaya (-7.338821, 112.645111)",Dijual,Baik,1032000.0,Tinggi
Rungkut,3,1,88,60,SHM - Sertifikat Hak Milik,1300.0,,Tidak,Unfurnished,1.0,Utara,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.48, Surabaya (-7.303373, 112.637842)",Disewa,Buruk,1032000.0,Tinggi
Lakarsantri,3,1,90,90,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Lakarsantri Raya No.15, Surabaya (-7.387363, 112.72338)",Disewa,Baik,1000000.0,Rendah
Lakarsantri,3,1,90,72,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Lakarsantri Raya No.190, Surabaya (-7.277772, 112.755876)",Dijual,Baik,1000000.0,Tinggi
Rungkut,3,1,110,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.40, Surabaya (-7.203253, 112.713353)",Disewa,Buruk,1032000.0,Rendah
Rungkut,3,2,54,75,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Ya,Baru,"Jl. Rungkut Raya No.82, Surabaya (-7.327839, 112.645959)",Keduanya,Buruk,1032000.0,Tinggi
Sukolilo,2,1,60,56,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,1.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Sukolilo Raya No.111, Surabaya (-7.249431, 112.607579)",Disewa,Baik,1000000.0,Tinggi
Benowo,2,1,72,126,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,Ya,Ya,Unfurnished,1.0,,Ya,,PAM atau PDAM,Tidak,Bagus,"Jl. Benowo Raya No.53, Surabaya (-7.299993, 112.723658)",Keduanya,Baik,1000000.0,Tinggi
Benowo,2,1,72,126,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,Ya,Ya,Unfurnished,1.0,,Ya,1 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Benowo Raya No.24, Surabaya (-7.374438, 112.626207)",Keduanya,Buruk,1000000.0,Tinggi
Lakarsantri,2,2,52,50,"Lainnya (PPJB,Girik,Adat,dll)",,,,Unfurnished,2.0,,,,,,Baru,"Jl. Lakarsantri Raya No.154, Surabaya (-7.283553, 112.668635)",Keduanya,Baik,1000000.0,Tinggi
Lakarsantri,2,2,50,52,HGB - Hak Guna Bangunan,2200.0,,,Unfurnished,2.0,Utara,,,,,Baru,"Jl. Lakarsantri Raya No.188, Surabaya (-7.340025, 112.735157)",Keduanya,Buruk,1000000.0,Tinggi
