Nama_Aset,Lokasi,Luas_m2,Sertifikat,Lokasi_Pasti,Kondisi,Tipe_Iklan,NJOP_Rp_per_m2,Jumlah_Penduduk,Aksesibilitas
Bulak,"Gg. Sadang Serang, Bulak, Surabaya",999,SHM,"Gg. Sadang Serang, Bulak, Surabaya (-7.281577, 112.734647)",Second,Dijual,,43764.0,Baik
Tandes,"Gang Jakarta, Tandes, Surabaya",1028,SHM,"Gang Jakarta, Tandes, Surabaya (-7.305985, 112.797305)",Second,Dijual,,87511.0,Baik
Wonokromo,"Gg. Tebet Barat Dalam, Wonokromo, Surabaya",798,Girik,"Gg. Tebet Barat Dalam, Wonokromo, Surabaya (-7.337796, 112.797973)",Second,Disewa,,144650.0,Baik
Tambaksari,"Gang Jakarta, Tambaksari, Surabaya",1873,HGB,"Gang Jakarta, Tambaksari, Surabaya (-7.300482, 112.726828)",Second,Disewa/Dijual,,214966.0,Baik
Gubeng,"Jl. Moch. Ramdan, Gubeng, Surabaya",1739,SHM,"Jl. Moch. Ramdan, Gubeng, Surabaya (-7.346561, 112.704098)",Second,Dijual,1147000.0,123961.0,Baik
Tegalsari,"Jalan Pasir Koja, Tegalsari, Surabaya",1865,Belum Bersertifikat,"Jalan Pasir Koja, Tegalsari, Surabaya (-7.259068, 112.770506)",Second,Dijual,,92014.0,Buruk
Karang Pilang,"Gg. Kutai, Karang Pilang, Surabaya",1468,Girik,"Gg. Kutai, Karang Pilang, Surabaya (-7.324122, 112.745099)",Second,Dijual,862000.0,,Baik
Tambaksari,"Jalan S. Parman, Tambaksari, Surabaya",1393,Belum Bersertifikat,"Jalan S. Parman, Tambaksari, Surabaya (-7.283748, 112.710075)",Second,Disewa/Dijual,,214966.0,Baik
Bulak,"Jalan Tebet Barat Dalam, Bulak, Surabaya",1465,SHM,"Jalan Tebet Barat Dalam, Bulak, Surabaya (-7.318829, 112.770752)",Second,Dijual,,43764.0,Baik
Simokerto,"Gg. Monginsidi, Simokerto, Surabaya",1585,Girik,"Gg. Monginsidi, Simokerto, Surabaya (-7.297993, 112.703117)",Second,Disewa/Dijual,,86897.0,Baik
Semampir,"Gg. Kutai, Semampir, Surabaya",782,Girik,"Gg. Kutai, Semampir, Surabaya (-7.295329, 112.787020)",Second,Disewa/Dijual,,172669.0,Baik
Benowo,"Jalan PHH. Mustofa, Benowo, Surabaya",911,SHM,"Jalan PHH. Mustofa, Benowo, Surabaya (-7.331515, 112.713865)",Second,Disewa,,69938.0,Baik
Karang Pilang,"Gg. M.T Haryono, Karang Pilang, Surabaya",1794,HGB,"Gg. M.T Haryono, Karang Pilang, Surabaya (-7.253042, 112.712731)",Second,Dijual,862000.0,,Buruk
Sukolilo,"Jalan Kiaracondong, Sukolilo, Surabaya",1672,HGB,"Jalan Kiaracondong, Sukolilo, Surabaya (-7.272487, 112.717567)",Second,Dijual,,110557.0,Baik
Asemrowo,"Gg. Rumah Sakit, Asemrowo, Surabaya",1450,Belum Bersertifikat,"Gg. Rumah Sakit, Asemrowo, Surabaya (-7.256050, 112.796027)",Second,Disewa/Dijual,916000.0,45547.0,Buruk
Sukolilo,"Jl. Kutai, Sukolilo, Surabaya",1349,Girik,"Jl. Kutai, Sukolilo, Surabaya (-7.260517, 112.769317)",Second,Disewa/Dijual,,110557.0,Buruk
Genteng,"Gg. Tubagus Ismail, Genteng, Surabaya",1896,SHM,"Gg. Tubagus Ismail, Genteng, Surabaya (-7.290210, 112.780137)",Second,Disewa,,52924.0,Baik
Benowo,"Jalan Dr. Djunjunan, Benowo, Surabaya",1612,SHM,"Jalan Dr. Djunjunan, Benowo, Surabaya (-7.257813, 112.739763)",Second,Dijual,,69938.0,Buruk
Simokerto,"Gg. Siliwangi, Simokerto, Surabaya",1182,SHM,"Gg. Siliwangi, Simokerto, Surabaya (-7.341151, 112.733631)",Second,Disewa/Dijual,,86897.0,Baik
Tambaksari,"Jl. Kutisari Selatan, Tambaksari, Surabaya",855,Belum Bersertifikat,"Jl. Kutisari Selatan, Tambaksari, Surabaya (-7.330402, 112.723448)",Second,Dijual,,214966.0,Baik
Pabean Cantikan,"Jl. Ronggowarsito, Pabean Cantikan, Surabaya",1865,SHM,"Jl. Ronggowarsito, Pabean Cantikan, Surabaya (-7.345477, 112.748065)",Second,Dijual,,,Baik
Tegalsari,"Jl. Rajawali Barat, Tegalsari, Surabaya",1043,Belum Bersertifikat,"Jl. Rajawali Barat, Tegalsari, Surabaya (-7.317467, 112.755183)",Second,Dijual,,92014.0,Baik
Sawahan,"Jalan Cikutra Timur, Sawahan, Surabaya",1146,Girik,"Jalan Cikutra Timur, Sawahan, Surabaya (-7.311132, 112.763177)",Second,Disewa/Dijual,1032000.0,188693.0,Baik
Benowo,"Jalan Cihampelas, Benowo, Surabaya",817,SHM,"Jalan Cihampelas, Benowo, Surabaya (-7.322865, 112.725712)",Second,Dijual,,69938.0,Baik
Semampir,"Jl. Dr. Djunjunan, Semampir, Surabaya",1899,SHM,"Jl. Dr. Djunjunan, Semampir, Surabaya (-7.267126, 112.794865)",Second,Disewa/Dijual,,172669.0,Buruk
Simokerto,"Gang Erlangga, Simokerto, Surabaya",1124,SHM,"Gang Erlangga, Simokerto, Surabaya (-7.314325, 112.716976)",Second,Disewa,,86897.0,Baik
Wonokromo,"Jalan Dipenogoro, Wonokromo, Surabaya",1701,Girik,"Jalan Dipenogoro, Wonokromo, Surabaya (-7.321907, 112.796565)",Second,Disewa,,144650.0,Baik
Tandes,"Jl. Abdul Muis, Tandes, Surabaya",977,SHM,"Jl. Abdul Muis, Tandes, Surabaya (-7.295730, 112.701486)",Second,Disewa/Dijual,,87511.0,Baik
Sawahan,"Gg. Cikutra Timur, Sawahan, Surabaya",737,Girik,"Gg. Cikutra Timur, Sawahan, Surabaya (-7.335908, 112.748113)",Second,Dijual,1032000.0,188693.0,Baik
Tandes,"Gg. K.H. Wahid Hasyim, Tandes, Surabaya",1034,SHM,"Gg. K.H. Wahid Hasyim, Tandes, Surabaya (-7.269780, 112.733337)",Second,Disewa,,87511.0,Buruk
Genteng,"Gang Ahmad Yani, Genteng, Surabaya",752,SHM,"Gang Ahmad Yani, Genteng, Surabaya (-7.342545, 112.744912)",Second,Disewa,,52924.0,Baik
Tandes,"Gg. Pasteur, Tandes, Surabaya",1389,HGB,"Gg. Pasteur, Tandes, Surabaya (-7.251311, 112.757066)",Second,Disewa/Dijual,,87511.0,Buruk
Wonokromo,"Gang Suryakencana, Wonokromo, Surabaya",883,HGB,"Gang Suryakencana, Wonokromo, Surabaya (-7.272776, 112.743559)",Second,Disewa/Dijual,,144650.0,Baik
Genteng,"Jalan Pasirkoja, Genteng, Surabaya",1930,Belum Bersertifikat,"Jalan Pasirkoja, Genteng, Surabaya (-7.330128, 112.741485)",Second,Disewa/Dijual,,52924.0,Baik
Dukuh Pakis,"Jl. Dr. Djunjunan, Dukuh Pakis, Surabaya",1008,SHM,"Jl. Dr. Djunjunan, Dukuh Pakis, Surabaya (-7.349448, 112.773272)",Second,Disewa/Dijual,,56707.0,Baik
Kenjeran,"Gang Kiaracondong, Kenjeran, Surabaya",751,Belum Bersertifikat,"Gang Kiaracondong, Kenjeran, Surabaya (-7.268454, 112.768588)",Second,Disewa/Dijual,,181325.0,Buruk
Pakal,"Jl. Jend. Sudirman, Pakal, Surabaya",1229,Girik,"Jl. Jend. Sudirman, Pakal, Surabaya (-7.279314, 112.783327)",Second,Disewa/Dijual,,59971.0,Baik
Sukolilo,"Jl. Pasir Koja, Sukolilo, Surabaya",915,SHM,"Jl. Pasir Koja, Sukolilo, Surabaya (-7.277099, 112.724996)",Second,Disewa/Dijual,,110557.0,Baik
Pabean Cantikan,"Jalan BKR, Pabean Cantikan, Surabaya",1889,SHM,"Jalan BKR, Pabean Cantikan, Surabaya (-7.272873, 112.760953)",Second,Dijual,,,Baik
Rungkut,"Jl. Kebonjati, Rungkut, Surabaya",1913,SHM,"Jl. Kebonjati, Rungkut, Surabaya (-7.342596, 112.758519)",Second,Dijual,,123757.0,Baik
Kenjeran,"Jl. Kebonjati, Kenjeran, Surabaya",899,HGB,"Jl. Kebonjati, Kenjeran, Surabaya (-7.314153, 112.736974)",Second,Dijual,,181325.0,Baik
Semampir,"Jalan Rajiman, Semampir, Surabaya",862,SHM,"Jalan Rajiman, Semampir, Surabaya (-7.338413, 112.748606)",Second,Dijual,,172669.0,Baik
Pabean Cantikan,"Gang Ahmad Yani, Pabean Cantikan, Surabaya",1364,Girik,"Gang Ahmad Yani, Pabean Cantikan, Surabaya (-7.263690, 112.731378)",Second,Disewa,,,Buruk
Tandes,"Gg. Monginsidi, Tandes, Surabaya",1474,Girik,"Gg. Monginsidi, Tandes, Surabaya (-7.287670, 112.714184)",Second,Dijual,,87511.0,Baik
Simokerto,"Jl. Dr. Djunjunan, Simokerto, Surabaya",1597,Girik,"Jl. Dr. Djunjunan, Simokerto, Surabaya (-7.316910, 112.721380)",Second,Disewa,,86897.0,Baik
Tambaksari,"Gang Ciwastra, Tambaksari, Surabaya",1359,HGB,"Gang Ciwastra, Tambaksari, Surabaya (-7.343644, 112.710551)",Second,Disewa,,214966.0,Baik
Kenjeran,"Jl. M.H Thamrin, Kenjeran, Surabaya",1329,SHM,"Jl. M.H Thamrin, Kenjeran, Surabaya (-7.318902, 112.768307)",Second,Disewa,,181325.0,Baik
Tegalsari,"Jalan Waringin, Tegalsari, Surabaya",1769,Girik,"Jalan Waringin, Tegalsari, Surabaya (-7.317482, 112.766073)",Second,Disewa/Dijual,,92014.0,Baik
Genteng,"Gang Cihampelas, Genteng, Surabaya",808,Girik,"Gang Cihampelas, Genteng, Surabaya (-7.277039, 112.795061)",Second,Disewa,,52924.0,Baik
Karang Pilang,"Jalan Raya Ujungberung, Karang Pilang, Surabaya",1607,SHM,"Jalan Raya Ujungberung, Karang Pilang, Surabaya (-7.286244, 112.772968)",Second,Disewa,862000.0,,Baik
Rungkut,"Gang Surapati, Rungkut, Surabaya",1334,Girik,"Gang Surapati, Rungkut, Surabaya (-7.261279, 112.705205)",Second,Disewa,,123757.0,Buruk
Tandes,"Gg. Soekarno Hatta, Tandes, Surabaya",1985,SHM,"Gg. Soekarno Hatta, Tandes, Surabaya (-7.302779, 112.788425)",Second,Disewa/Dijual,,87511.0,Baik
Sawahan,"Gg. Raya Setiabudhi, Sawahan, Surabaya",867,SHM,"Gg. Raya Setiabudhi, Sawahan, Surabaya (-7.338041, 112.786268)",Second,Dijual,1032000.0,188693.0,Baik
Simokerto,"Jalan Ahmad Dahlan, Simokerto, Surabaya",1214,Girik,"Jalan Ahmad Dahlan, Simokerto, Surabaya (-7.278676, 112.744332)",Second,Dijual,,86897.0,Baik
Tandes,"Gang Gegerkalong Hilir, Tandes, Surabaya",1958,Belum Bersertifikat,"Gang Gegerkalong Hilir, Tandes, Surabaya (-7.273921, 112.758586)",Second,Disewa,,87511.0,Baik
Krembangan,"Jl. Monginsidi, Krembangan, Surabaya",966,Belum Bersertifikat,"Jl. Monginsidi, Krembangan, Surabaya (-7.293872, 112.797608)",Second,Disewa,,109027.0,Baik
Rungkut,"Gg. Cikutra Timur, Rungkut, Surabaya",1149,SHM,"Gg. Cikutra Timur, Rungkut, Surabaya (-7.272903, 112.753230)",Second,Dijual,,123757.0,Baik
Pabean Cantikan,"Gg. PHH. Mustofa, Pabean Cantikan, Surabaya",852,Girik,"Gg. PHH. Mustofa, Pabean Cantikan, Surabaya (-7.300620, 112.790532)",Second,Dijual,,,Baik
Pakal,"Jl. BKR, Pakal, Surabaya",1327,Girik,"Jl. BKR, Pakal, Surabaya (-7.297727, 112.708304)",Second,Dijual,,59971.0,Baik
Sukolilo,"Gg. Kiaracondong, Sukolilo, Surabaya",1700,HGB,"Gg. Kiaracondong, Sukolilo, Surabaya (-7.307246, 112.719105)",Second,Dijual,,110557.0,Baik
Wonokromo,"Jl. Raya Ujungberung, Wonokromo, Surabaya",1757,Girik,"Jl. Raya Ujungberung, Wonokromo, Surabaya (-7.347458, 112.744075)",Second,Disewa,,144650.0,Baik
Semampir,"Gg. Wonoayu, Semampir, Surabaya",799,Girik,"Gg. Wonoayu, Semampir, Surabaya (-7.339211, 112.758476)",Second,Disewa,,172669.0,Baik
Sukolilo,"Gang Kendalsari, Sukolilo, Surabaya",920,Girik,"Gang Kendalsari, Sukolilo, Surabaya (-7.346857, 112.781623)",Second,Disewa,,110557.0,Baik
Sukolilo,"Jalan BKR, Sukolilo, Surabaya",732,Belum Bersertifikat,"Jalan BKR, Sukolilo, Surabaya (-7.286359, 112.798826)",Second,Dijual,,110557.0,Baik
Wonokromo,"Jalan Cihampelas, Wonokromo, Surabaya",1732,Belum Bersertifikat,"Jalan Cihampelas, Wonokromo, Surabaya (-7.318564, 112.738885)",Second,Disewa/Dijual,,144650.0,Baik
Pakal,"Jalan Kapten Muslihat, Pakal, Surabaya",1810,Girik,"Jalan Kapten Muslihat, Pakal, Surabaya (-7.299143, 112.704742)",Second,Dijual,,59971.0,Baik
Wonokromo,"Gg. W.R. Supratman, Wonokromo, Surabaya",1873,SHM,"Gg. W.R. Supratman, Wonokromo, Surabaya (-7.259243, 112.780117)",Second,Dijual,,144650.0,Buruk
Tegalsari,"Gang Cikapayang, Tegalsari, Surabaya",1046,Belum Bersertifikat,"Gang Cikapayang, Tegalsari, Surabaya (-7.325071, 112.760438)",Second,Disewa/Dijual,,92014.0,Baik
Bulak,"Gg. S. Parman, Bulak, Surabaya",977,Belum Bersertifikat,"Gg. S. Parman, Bulak, Surabaya (-7.308962, 112.719854)",Second,Disewa/Dijual,,43764.0,Baik
Bulak,"Gang Sadang Serang, Bulak, Surabaya",1962,HGB,"Gang Sadang Serang, Bulak, Surabaya (-7.274445, 112.749483)",Second,Dijual,,43764.0,Baik
Genteng,"Jl. Rumah Sakit, Genteng, Surabaya",1276,HGB,"Jl. Rumah Sakit, Genteng, Surabaya (-7.327120, 112.774231)",Second,Disewa/Dijual,,52924.0,Baik
Dukuh Pakis,"Jl. Stasiun Wonokromo, Dukuh Pakis, Surabaya",1895,HGB,"Jl. Stasiun Wonokromo, Dukuh Pakis, Surabaya (-7.342302, 112.777041)",Second,Disewa/Dijual,,56707.0,Baik
Tambaksari,"Jl. Raya Setiabudhi, Tambaksari, Surabaya",1670,Girik,"Jl. Raya Setiabudhi, Tambaksari, Surabaya (-7.321025, 112.749962)",Second,Disewa/Dijual,,214966.0,Baik
Dukuh Pakis,"Gang Sukajadi, Dukuh Pakis, Surabaya",1516,Belum Bersertifikat,"Gang Sukajadi, Dukuh Pakis, Surabaya (-7.333878, 112.730521)",Second,Dijual,,56707.0,Baik
Pakal,"Gg. W.R. Supratman, Pakal, Surabaya",1837,HGB,"Gg. W.R. Supratman, Pakal, Surabaya (-7.257030, 112.797374)",Second,Dijual,,59971.0,Buruk
Wonokromo,"Gang Kiaracondong, Wonokromo, Surabaya",853,HGB,"Gang Kiaracondong, Wonokromo, Surabaya (-7.269188, 112.766336)",Second,Disewa/Dijual,,144650.0,Buruk
Tambaksari,"Jl. Asia Afrika, Tambaksari, Surabaya",1329,Belum Bersertifikat,"Jl. Asia Afrika, Tambaksari, Surabaya (-7.286660, 112.740824)",Second,Disewa,,214966.0,Baik
Pakal,"Gang Ciumbuleuit, Pakal, Surabaya",706,Belum Bersertifikat,"Gang Ciumbuleuit, Pakal, Surabaya (-7.262854, 112.728046)",Second,Disewa/Dijual,,59971.0,Buruk
Tandes,"Gang Stasiun Wonokromo, Tandes, Surabaya",1198,Girik,"Gang Stasiun Wonokromo, Tandes, Surabaya (-7.269633, 112.773110)",Second,Disewa/Dijual,,87511.0,Buruk
Kenjeran,"Jl. Raya Setiabudhi, Kenjeran, Surabaya",1642,SHM,"Jl. Raya Setiabudhi, Kenjeran, Surabaya (-7.331343, 112.724218)",Second,Dijual,,181325.0,Baik
Pakal,"Jl. K.H. Wahid Hasyim, Pakal, Surabaya",1569,Girik,"Jl. K.H. Wahid Hasyim, Pakal, Surabaya (-7.260744, 112.717171)",Second,Disewa,,59971.0,Buruk
Sambikerep,"Gang Suryakencana, Sambikerep, Surabaya",1574,SHM,"Gang Suryakencana, Sambikerep, Surabaya (-7.296066, 112.752983)",Second,Disewa/Dijual,,63778.0,Baik
Wonokromo,"Jl. Pasir Koja, Wonokromo, Surabaya",1806,Belum Bersertifikat,"Jl. Pasir Koja, Wonokromo, Surabaya (-7.269256, 112.728999)",Second,Disewa,,144650.0,Buruk
Bulak,"Gg. R.E Martadinata, Bulak, Surabaya",754,SHM,"Gg. R.E Martadinata, Bulak, Surabaya (-7.260391, 112.762891)",Second,Dijual,,43764.0,Buruk
Benowo,"Gang Sadang Serang, Benowo, Surabaya",1674,Girik,"Gang Sadang Serang, Benowo, Surabaya (-7.318200, 112.711794)",Second,Disewa,,69938.0,Baik
Asemrowo,"Gg. S. Parman, Asemrowo, Surabaya",833,HGB,"Gg. S. Parman, Asemrowo, Surabaya (-7.338995, 112.765494)",Second,Dijual,916000.0,45547.0,Baik
Sukolilo,"Jalan Sukajadi, Sukolilo, Surabaya",1858,HGB,"Jalan Sukajadi, Sukolilo, Surabaya (-7.327206, 112.728330)",Second,Disewa/Dijual,,110557.0,Baik
Semampir,"Jalan Wonoayu, Semampir, Surabaya",1946,Belum Bersertifikat,"Jalan Wonoayu, Semampir, Surabaya (-7.307289, 112.700024)",Second,Dijual,,172669.0,Baik
Sukolilo,"Gang Ciumbuleuit, Sukolilo, Surabaya",1105,SHM,"Gang Ciumbuleuit, Sukolilo, Surabaya (-7.268199, 112.712694)",Second,Disewa,,110557.0,Buruk
Pabean Cantikan,"Gg. Rajawali Barat, Pabean Cantikan, Surabaya",1229,SHM,"Gg. Rajawali Barat, Pabean Cantikan, Surabaya (-7.263927, 112.793362)",Second,Disewa,,,Buruk
Tambaksari,"Gg. Asia Afrika, Tambaksari, Surabaya",707,Belum Bersertifikat,"Gg. Asia Afrika, Tambaksari, Surabaya (-7.349305, 112.786735)",Second,Disewa,,214966.0,Baik
Bulak,"Jl. Medokan Ayu, Bulak, Surabaya",785,Belum Bersertifikat,"Jl. Medokan Ayu, Bulak, Surabaya (-7.298925, 112.723361)",Second,Disewa/Dijual,,43764.0,Baik
Rungkut,"Jalan Yos Sudarso, Rungkut, Surabaya",882,SHM,"Jalan Yos Sudarso, Rungkut, Surabaya (-7.308259, 112.777837)",Second,Disewa,,123757.0,Baik
Tegalsari,"Gg. Rajawali Barat, Tegalsari, Surabaya",736,Girik,"Gg. Rajawali Barat, Tegalsari, Surabaya (-7.327789, 112.760857)",Second,Disewa,,92014.0,Baik
Karang Pilang,"Jl. S. Parman, Karang Pilang, Surabaya",847,HGB,"Jl. S. Parman, Karang Pilang, Surabaya (-7.338013, 112.797090)",Second,Disewa,862000.0,,Baik
Tegalsari,"Jalan Cikapayang, Tegalsari, Surabaya",725,Belum Bersertifikat,"Jalan Cikapayang, Tegalsari, Surabaya (-7.316238, 112.737361)",Second,Dijual,,92014.0,Baik
Krembangan,"Gg. Cikutra Barat, Krembangan, Surabaya",1685,Girik,"Gg. Cikutra Barat, Krembangan, Surabaya (-7.255709, 112.768146)",Second,Disewa,,109027.0,Buruk
Karang Pilang,"Jl. Ir. H. Djuanda, Karang Pilang, Surabaya",1300,SHM,"Jl. Ir. H. Djuanda, Karang Pilang, Surabaya (-7.317680, 112.706354)",Second,Dijual,862000.0,,Baik
Bulak,"Jalan Moch. Toha, Bulak, Surabaya",1756,HGB,"Jalan Moch. Toha, Bulak, Surabaya (-7.298121, 112.739625)",Second,Disewa,,43764.0,Baik
Sawahan,"Jalan Gardujati, Sawahan, Surabaya",1021,HGB,"Jalan Gardujati, Sawahan, Surabaya (-7.279698, 112.796382)",Second,Dijual,1032000.0,188693.0,Baik
Genteng,"Gg. Gegerkalong Hilir, Genteng, Surabaya",1250,Girik,"Gg. Gegerkalong Hilir, Genteng, Surabaya (-7.313637, 112.753898)",Second,Dijual,,52924.0,Baik
